brand,category,avg_sentiment,review_count
The Laundress,Household Chemicals,0.930188888888889,9
Happy Family,Food,0.9251222222222223,9
Weleda,Personal Care,0.8928875000000001,8
Simply Shabby Chic,Brand Shop,0.8446083333333334,12
Bedtime Originals,Baby,0.8384166666666667,6
Mrs. Meyer's,Household Essentials,0.8381241379310345,29
CHI,Personal Care,0.8368571428571429,14
Kiss,Beauty,0.8353400355871886,562
Barielle,Personal Care,0.8318,8
Era,Household Chemicals,0.8313272727272728,11
Iman,Personal Care,0.8277352941176471,17
Sinful,Personal Care,0.820325,8
Jergens,Personal Care,0.8152333333333333,9
J.R. Watkins,Personal Care,0.78132,10
Concept Housewares,Kitchen & Dining,0.7802,8
Tide,Household Chemicals,0.7794065747613999,1886
CRITERION COLLECTION INC,Movies,0.7787666666666667,39
Biokleen,Household Chemicals,0.7784375,8
Teenage Mutant Ninja Turtles,Kids' Rooms,0.77418,5
Naturtint,Personal Care,0.7719,5
L'oreal Paris,Beauty,0.7691458041958041,2288
Juice Beauty,Personal Care,0.7651866666666667,60
Sony Music,Movies,0.7642454545454545,66
The Honest Company,Household Chemicals,0.7618358974358974,39
Head & Shoulders,Personal Care,0.7574111504424779,565
Mill Creek,Personal Care,0.75122,15
Disney,Featured Brands,0.7500833333333333,24
Kraus,Home Improvement,0.7446405405405405,37
Yes to Carrots,Personal Care,0.739769696969697,66
J. Hunt,Home,0.73732,5
Ben & Jerry's,Food,0.7371909090909091,11
Roommates,Home,0.7352333333333334,12
Wild Planet,Food,0.734425,8
NYX,Personal Care,0.7329736363636363,110
Jolly Time,Food,0.7242185185185185,27
Ogx,Personal Care,0.7233421052631579,38
ANCHOR BAY,Movies,0.7179933333333334,30
Universal Home Video,Featured Brands,0.7168135753176044,5510
Maaya Home,Furniture,0.7166037037037037,27
Lionsgate,Movies,0.7163323076923077,715
Tom's of Maine,Personal Care,0.7160814814814814,27
Storkcraft,Baby,0.7156635338345865,266
Trend Lab,Baby,0.7150818181818182,11
Summit Entertainment,Movies,0.7143142857142858,7
Aussie,Personal Care,0.7132010526315788,95
Disney,Movies,0.712170092693566,3668
Pantene,Personal Care,0.7116744791666667,192
Paramount Pictures,Movies,0.7080865853658537,328
Idahoan,Food,0.7071909090909091,11
Olay,Personal Care,0.7046866081871346,3420
Burt's Bees,Personal Care,0.6929336787564767,965
Smead,School & Office Supplies,0.6916231404958678,121
Axe,Personal Care,0.6903305084745763,59
Colorganics,Personal Care,0.6900999999999999,9
Avery,Office,0.6893234920634921,315
Vaseline,Personal Care,0.6867662790697674,258
JLA Home,Home,0.6862555555555556,9
Warner Bros.,Movies,0.684463746701847,1895
Universal Home Video,Movies,0.6827483532934132,668
Baby Banana,Gift Finder,0.6826,19
UNIVERSAL STUDIOS HOME ENTERT.,Movies,0.6824342857142858,70
